transaction_id,transaction_date,description,amount,transaction_type,category_id,classification_id,is_transfer,source,payment_method
3621,2025-09-01,3 BROTHERS PIZZA OCEAN CITY NJ,-61.89,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2177,2025-09-01,ACME.COM #XXXX XXX-XXX-4040 NJ,-162.25,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5398,2025-09-01,Kindle Svcs*670ZI5683,-6.61,Expense,100,,0,CREDIT CARD (-9983),Chase
5491,2025-09-01,SQ *CONGO FALLS OCEAN Ocean City NJ,-54.95,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5469,2025-09-01,SQ *ENCOUNTERS Ocean City NJ,-29.98,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3769,2025-09-01,UBER *ONE MEMBERSHIP XXXXXX8996 CA,-9.99,Expense,87,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
236,2025-09-02,BILL PAYMENT OCEANFIRST BANK N.A.,-2681.87,Expense,13,,0,106 Newport,Fidelity Investments
2219,2025-09-02,CASELS'S MARGATE CITY NJ,-228.61,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
141,2025-09-02,DIRECT DEBIT ATLANTIC CITY BILLPAY,-843.57,Expense,10,,0,x00 S Stratford,Fidelity Investments
1198,2025-09-02,DIRECT DEBIT SYNCHRONY BANKPAYMENT,-500.0,Expense,38,,0,Groceries and Other Spending,Fidelity Investments
5255,2025-09-02,DIRECT DEBIT VENMO PAYMENT,-12.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
5266,2025-09-02,DIRECT DEBIT VENMO PAYMENT,-1390.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
5457,2025-09-02,WEC ENERGY GROUP INC COM - REINVESTMENT as of XXXX-X9-01 WEC ENERGY GROUP INC COM,-24.59,Expense,101,,1,INVESTMENTS,Fidelity Investments
4920,2025-09-03,Amazon Digit*354VR7CE3,-11.02,Expense,92,,0,CREDIT CARD (-9983),Chase
81,2025-09-03,BILL PAYMENT BRUSH MASTERS PAINTING,-7070.94,Expense,7,22.0,0,x00 S Stratford,Fidelity Investments
4630,2025-09-04,AMAZON MKTPL*0D1K221Z3,-80.01,Expense,90,,0,CREDIT CARD (-9983),Chase
2367,2025-09-04,"CATHERINE W. LARKIN, M SEATTLE WA",-20.0,Expense,54,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5262,2025-09-04,DIRECT DEBIT VENMO PAYMENT,-110.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
5264,2025-09-04,DIRECT DEBIT VENMO PAYMENT,-125.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
804,2025-09-04,DUNKIN #XX6233 VENTNOR CITY NJ,-7.02,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5426,2025-09-04,ENBRIDGE INC COM ISIN #CAX9250N1050 SEDOL #XXXXX49 - FOREIGN TAX PAID as of XXXX-X9-01 ENBRIDGE INC COM ISIN #CAX9250N1050 ...,-13.55,Expense,100,,0,INVESTMENTS,Fidelity Investments
5403,2025-09-04,FORTIS INC COM ISIN #CAXXXXXX1079 SEDOL #XXXXX00 - FOREIGN TAX PAID as of XXXX-X9-01 FORTIS INC COM ISIN #CAXXXXXX1079 SE...,-8.27,Expense,100,,0,INVESTMENTS,Fidelity Investments
5436,2025-09-04,JIMMY JOHNS - 3463 PHILADELPHIA PA,-15.41,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5199,2025-09-04,NJ EZPASS NEWARK NJ,-105.0,Expense,94,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
492,2025-09-04,NJ MOTOR VEHICLE PAY XXX-XXX-5948 NJ,-73.64,Expense,29,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
629,2025-09-04,NikePOS_US Atlantic City NJ,-117.21,Expense,34,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5515,2025-09-04,PAYSCHL*VENTNOR CITY B VENTNOR NJ,-312.0,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
1092,2025-09-04,SUNDAZE VENTNOR CITY NJ,-24.94,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
1936,2025-09-04,SUNOCO XXXXXX5000 QPS CAMDEN NJ,-66.01,Expense,47,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
1649,2025-09-04,VTG*DBT of South Jerse VOORHEES NJ,-130.0,Expense,40,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3231,2025-09-04,WALGREENS #X7821 VENTNOR CITY NJ,-22.94,Expense,78,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4412,2025-09-05,AMAZON MKTPL*DS5XA2AG3,-37.3,Expense,90,,0,CREDIT CARD (-9983),Chase
3497,2025-09-05,BURGER KING #X1666 VENTNOR CITY NJ,-23.85,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5416,2025-09-05,BWX TECHNOLOGIES INC COM - REINVESTMENT BWX TECHNOLOGIES INC COM,-10.44,Expense,100,,0,INVESTMENTS,Fidelity Investments
5424,2025-09-05,CONSTELLATION ENERGY CORP COM - REINVESTMENT CONSTELLATION ENERGY CORP COM,-12.7,Expense,101,,1,INVESTMENTS,Fidelity Investments
2305,2025-09-05,SQ *@PEACE MASSAGE WEL gosq.com NJ,-82.31,Expense,51,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2129,2025-09-06,ACME.COM #XXXX XXX-XXX-4040 NJ,-99.6,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4778,2025-09-06,AUGMENT CODE PALO ALTO CA,-17.74,Expense,91,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5480,2025-09-06,POKE BOWL ATLANTIC CITY NJ,-37.55,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4616,2025-09-07,AMAZON MKTPL*8F5JY5BT3,-75.76,Expense,90,,0,CREDIT CARD (-9983),Chase
4351,2025-09-07,AMAZON MKTPL*9Z3DT6WO3,-31.93,Expense,90,,0,CREDIT CARD (-9983),Chase
5381,2025-09-07,LINK2GOV CORP MARGATE CITY NJ,-1.48,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
1761,2025-09-07,MARGATE CITY - PARKS P MARGATE CITY NJ,-50.0,Expense,43,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2146,2025-09-08,ACME.COM #XXXX XXX-XXX-4040 NJ,-120.46,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4552,2025-09-08,AMAZON MKTPL*ED0EM0153,-60.67,Expense,90,,0,CREDIT CARD (-9983),Chase
4572,2025-09-08,AMAZON MKTPL*L55JA9SE3,-64.99,Expense,90,,0,CREDIT CARD (-9983),Chase
447,2025-09-08,DIRECT DEBIT AMEX EPAYMENT ACH PMT,4395.99,Expense,24,3.0,1,Groceries and Other Spending,Fidelity Investments
847,2025-09-08,STARBUCKS XXXXXXXXXX XXX-XXX-7282 WA,-8.21,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3957,2025-09-09,AMAZON MKTPL*131F548R3,-6.39,Expense,90,,0,CREDIT CARD (-9983),Chase
4621,2025-09-09,AMAZON MKTPL*BB2IT9X03,-76.76,Expense,90,,0,CREDIT CARD (-9983),Chase
4750,2025-09-09,AMAZON MKTPL*MA0LN5233,-239.89,Expense,90,,0,CREDIT CARD (-9983),Chase
5371,2025-09-09,ARM HOLDINGS PLC SPON ADS EACH REP 1 ORD SHS - FEE CHARGED ARM HOLDINGS PLC SPON ADS EACH REP 1...,-0.49,Expense,100,,0,INVESTMENTS,Fidelity Investments
78,2025-09-09,BILL PAYMENT BRUSH MASTERS PAINTING,-2772.25,Expense,7,22.0,0,x00 S Stratford,Fidelity Investments
5512,2025-09-09,CASH ADVANCE ATM4670 6500 VENTNOR A VENTNOR CITY NJXXXXXXXXXX1317V06GSW,-203.0,Expense,100,,0,Groceries and Other Spending,Fidelity Investments
885,2025-09-09,DUNKIN #XX6233 VENTNOR CITY NJ,-9.78,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5406,2025-09-09,SQ *REMEDEE COFFEE ROA ATLANTIC CITY NJ,-9.26,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2213,2025-09-10,ACME 0294 VENTNOR CITY NJ,-214.62,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4770,2025-09-10,AMAZON MKTPL*SQ8PY7V73,-603.46,Expense,90,,0,CREDIT CARD (-9983),Chase
4046,2025-09-10,AMAZON MKTPL*WD1TT4X33,-12.01,Expense,90,,0,CREDIT CARD (-9983),Chase
2796,2025-09-10,Check Paid # 1290,-55.0,Expense,64,,0,Groceries and Other Spending,Fidelity Investments
555,2025-09-10,DIRECT DEBIT CITI AUTOPAY PAYMENT,-3295.65,Expense,33,,0,Groceries and Other Spending,Fidelity Investments
314,2025-09-10,DIRECT DEBIT COMCAST-XFINITCABLE SVCS,-197.9,Expense,15,,0,106 Newport,Fidelity Investments
5265,2025-09-10,DIRECT DEBIT VENMO PAYMENT,-145.0,Expense,97,,0,x00 E STILES,Fidelity Investments
5438,2025-09-10,INTERNATIONAL BUS MACH CORP COM USD0.20 - REINVESTMENT INTERNATIONAL BUS MACH CORP COM USD0.20,-15.9,Expense,100,,0,INVESTMENTS,Fidelity Investments
846,2025-09-10,STARBUCKS SEATTLE WA,-8.21,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
1868,2025-09-11,AC FUEL ATLANTIC CITY NJ,-22.48,Expense,47,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4703,2025-09-11,AMAZON MKTPL*VM39Y17P3,-127.92,Expense,90,,0,CREDIT CARD (-9983),Chase
3225,2025-09-11,CVS/PHARMACY #X2235 CHERRY HILL NJ,-19.98,Expense,78,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5261,2025-09-11,DIRECT DEBIT VENMO PAYMENT,-108.0,Expense,97,,0,Groceries and Other Spending,Fidelity Investments
786,2025-09-11,DUNKIN #XX6233 VENTNOR CITY NJ,-6.6,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
857,2025-09-11,DUNKIN #XX6233 VENTNOR CITY NJ,-8.6,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4900,2025-09-11,MIDJOURNEY INC. SOUTH SAN FRA CA,-10.0,Expense,92,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
891,2025-09-11,THE QUEEN BEAN BISTRO VENTNOR CITY NJ,-9.98,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4567,2025-09-12,AMAZON MKTPL*AE7TX3973,-63.04,Expense,90,,0,CREDIT CARD (-9983),Chase
4598,2025-09-12,AMAZON MKTPL*G33K51HJ3,-69.99,Expense,90,,0,CREDIT CARD (-9983),Chase
658,2025-09-12,DUNKIN #XX6233 VENTNOR CITY NJ,-2.12,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3669,2025-09-13,AGNES CAFE VENTNOR CITY NJ,-89.37,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3442,2025-09-13,CHICK-FIL-A #X3909 EGG HARBOR TW NJ,-16.31,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4753,2025-09-14,AMAZON MKTPL*OK21C6HF3,-276.56,Expense,90,,0,CREDIT CARD (-9983),Chase
2074,2025-09-14,CASELS'S MARGATE CITY NJ,-48.78,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
776,2025-09-14,DUNKIN #XX6233 VENTNOR CITY NJ,-6.27,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3194,2025-09-14,WALGREENS #X7821 VENTNOR CITY NJ,-12.35,Expense,78,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5442,2025-09-15,ALPHABET INC CAP STK CL C - REINVESTMENT ALPHABET INC CAP STK CL C,-19.35,Expense,100,,0,INVESTMENTS,Fidelity Investments
4349,2025-09-15,AMAZON MKTPL*897XO6RB3,-31.8,Expense,90,,0,CREDIT CARD (-9983),Chase
1926,2025-09-16,AC FUEL ATLANTIC CITY NJ,-55.22,Expense,47,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2206,2025-09-16,ACME.COM #XXXX XXX-XXX-4040 NJ,-199.72,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4084,2025-09-16,AMAZON MKTPL*8G8033AI3,-14.92,Expense,90,,0,CREDIT CARD (-9983),Chase
4301,2025-09-16,AMAZON MKTPL*N78WT1W21,-27.33,Expense,90,,0,CREDIT CARD (-9983),Chase
3359,2025-09-16,BILL PAYMENT KELLER WILLIAMS REALTY,-1500.0,Expense,83,,0,x00 E STILES,Fidelity Investments
3499,2025-09-16,CAPRI PIZZA VENTNOR VENTNOR NJ,-24.2,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
459,2025-09-16,Check Paid # 1001,21895.78,Expense,7,,0,x00 S Stratford,Fidelity Investments
474,2025-09-16,DIRECT DEBIT STATE FARM RO SFPP,-327.64,Expense,28,,0,Groceries and Other Spending,Fidelity Investments
5490,2025-09-16,DUKE ENERGY CORP NEW COM NEW ISIN #USX6441C2044 SEDOL #B7JZSK0 - REINVESTMENT DUKE ENERGY CORP NEW COM NEW ISIN #U...,-52.86,Expense,101,,1,INVESTMENTS,Fidelity Investments
775,2025-09-16,DUNKIN #XX6233 VENTNOR CITY NJ,-6.27,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4775,2025-09-16,Prime Video Channels,-14.33,Expense,91,,0,CREDIT CARD (-9983),Chase
5482,2025-09-16,TACO BELL XX4761 MAYS LANDING NJ,-38.59,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4705,2025-09-16,TARGET XXXX1098 MAYS LANDING NJ,-128.57,Expense,90,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4784,2025-09-17,AUGMENT CODE PALO ALTO CA,-100.0,Expense,91,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3483,2025-09-17,CA$*ASIAN TAKEOUT ORDR RALEIGH NC,-20.71,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
1648,2025-09-17,VTG*DBT of South Jerse VOORHEES NJ,-130.0,Expense,40,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
107,2025-09-18,DIRECT DEBIT PENNYMAC CASH,-8556.25,Expense,8,,0,x00 S Stratford,Fidelity Investments
1094,2025-09-18,STARBUCKS SEATTLE WA,-25.0,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
1874,2025-09-18,SUNOCO XXXXXX9900 QPS ABSECON NJ,-32.86,Expense,47,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4229,2025-09-19,AMAZON MKTPL*JL27G33C3,-22.91,Expense,90,,0,CREDIT CARD (-9983),Chase
649,2025-09-19,BILL PAYMENT AMY TAYLOR,-425.0,Expense,34,,0,x00 E STILES,Fidelity Investments
1168,2025-09-19,FEE CHARGED Fidelity Basket Portfolios,-4.99,Expense,37,,0,INVESTMENTS,Fidelity Investments
58,2025-09-19,LAMPS PLUS XXX-XXX-2425 CA,-44.73,Expense,7,22.0,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
72,2025-09-19,LAMPS PLUS XXX-XXX-2425 CA,-380.62,Expense,7,22.0,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5429,2025-09-19,The Talbot Hotel Peterborough GBR,-13.91,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5467,2025-09-19,The Talbot Hotel Peterborough GBR,-29.1,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5496,2025-09-19,WELCOME B/WAITROSE NEWPORT PAGNE GBR,-61.1,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4809,2025-09-20,APPLE.COM/BILL CUPERTINO CA,-2.99,Expense,92,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5464,2025-09-20,BOOTS 0042 PETERBOROUGH GBR,-27.73,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5407,2025-09-20,SumUp *Benefield Cric Upper Benefie GBR,-9.5,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5427,2025-09-20,SumUp *Benefield Cric Upper Benefie GBR,-13.57,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5466,2025-09-20,The Greedy Piglet Peterborough GBR,-28.9,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2137,2025-09-21,ACME.COM #XXXX XXX-XXX-4040 NJ,-110.46,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5090,2025-09-21,Netflix.com Los Gatos CA,-26.65,Expense,92,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5378,2025-09-21,SumUp *Benefield Cric Upper Benefie GBR,-1.36,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5391,2025-09-21,TFL TRAVEL CH TFL.GOV.UK/CP GBR,-3.93,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2745,2025-09-21,THRIVE MARKET XXXXXX6840 CA,-63.92,Expense,62,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2366,2025-09-22,BILL PAYMENT TRANSAMERICA LIFE INSUR,-261.98,Expense,53,,0,Groceries and Other Spending,Fidelity Investments
562,2025-09-22,DIRECT DEBIT CITI AUTOPAY PAYMENT,-5148.84,Expense,33,,0,Groceries and Other Spending,Fidelity Investments
5497,2025-09-22,DOMINION ENERGY INC COM - REINVESTMENT as of XXXX-X9-20 DOMINION ENERGY INC COM,-68.25,Expense,101,,1,INVESTMENTS,Fidelity Investments
4954,2025-09-22,Spotify USA New York NY,-13.23,Expense,92,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5397,2025-09-22,TST-Paris Baguette-HSK London GBR,-5.83,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5430,2025-09-22,TST-Paris Baguette-HSK London GBR,-13.97,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
5439,2025-09-22,TST-Paris Baguette-HSK London GBR,-16.28,Expense,100,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
532,2025-09-23,Check Paid # 1291,-45.0,Expense,32,,0,Groceries and Other Spending,Fidelity Investments
531,2025-09-23,Check Paid # 1292,-45.0,Expense,32,,0,Groceries and Other Spending,Fidelity Investments
5246,2025-09-23,DIRECT DEBIT B2P*SOUTH JERSB2P*SOUTH,-26.87,Expense,96,,0,106 Newport,Fidelity Investments
282,2025-09-23,DIRECT DEBIT COMCAST-XFINITCABLE SVCS,-107.32,Expense,15,,0,106 Newport,Fidelity Investments
3689,2025-09-23,YAMA JAPANESE ATLANTIC CITY NJ,-102.36,Expense,86,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
3358,2025-09-24,BILL PAYMENT KELLER WILLIAMS MAIN ST,-1500.0,Expense,83,,0,x00 E STILES,Fidelity Investments
332,2025-09-24,DIRECT DEBIT City of VentnoXXXXXX7912,-594.15,Expense,17,,0,106 Newport,Fidelity Investments
850,2025-09-24,DUNKIN #XX6233 VENTNOR CITY NJ,-8.39,Expense,35,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
1647,2025-09-24,VTG*DBT of South Jerse VOORHEES NJ,-130.0,Expense,40,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4643,2025-09-25,Amazon.com*GD1KP2N03,-85.29,Expense,90,,0,CREDIT CARD (-9983),Chase
4226,2025-09-25,Amazon.com*YB4D122S3,-22.67,Expense,90,,0,CREDIT CARD (-9983),Chase
5428,2025-09-25,QUALCOMM INC - REINVESTMENT QUALCOMM INC,-13.76,Expense,101,,1,INVESTMENTS,Fidelity Investments
5376,2025-09-25,VERTIV HOLDINGS CO COM CL A - REINVESTMENT VERTIV HOLDINGS CO COM CL A,-1.31,Expense,100,,0,INVESTMENTS,Fidelity Investments
2159,2025-09-26,ACME.COM #XXXX XXX-XXX-4040 NJ,-142.02,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
2231,2025-09-26,ACME.COM #XXXX XXX-XXX-4040 NJ,-261.95,Expense,48,,0,Citi /AAdvantage Executive World Elite Mastercard,Citibank
4864,2025-09-28,Amazon Kids+*GD5NN8DF3,-6.61,Expense,92,,0,CREDIT CARD (-9983),Chase
