Date,Description,Category,Amount,Account,Account #,Institution,Month,Week,Check Number,Full Description,Date Added,Categorized Date
2025-09-18,Direct Debit Pennymac Cash,100 S Stratford Mortgage,-8556.25,x00 S Stratford,xxxx3535,Fidelity Investments,2025-09-01,2025-09-15,,DIRECT DEBIT PENNYMAC CASH,2025-09-29 19:22:21.200,2025-09-29
2025-09-02,Bill Payment Oceanfirst Bank N.a.,106 N Newport Mort,-2681.87,106 Newport,xxxx6506,Fidelity Investments,2025-09-01,2025-09-01,,BILL PAYMENT OCEANFIRST BANK N.A.,2025-09-29 19:22:21.200,2025-09-29
2025-09-24,Bill Payment Keller Williams Main St,Real Estate Fees,-1500.0,x00 E STILES,xxxx7574,Fidelity Investments,2025-09-01,2025-09-22,,BILL PAYMENT KELLER WILLIAMS MAIN ST,2025-09-29 19:22:21.200,2025-09-29
2025-09-16,Bill Payment Keller Williams Realty,Real Estate Fees,-1500.0,x00 E STILES,xxxx7574,Fidelity Investments,2025-09-01,2025-09-15,,BILL PAYMENT KELLER WILLIAMS REALTY,2025-09-29 19:22:21.200,2025-09-29
2025-09-02,Direct Debit Venmo Payment,Venmo - Review,-1390.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-01,,DIRECT DEBIT VENMO PAYMENT,2025-09-29 19:22:21.200,2025-09-29
2025-09-02,Direct Debit Atlantic City Billpay,100 S Stratford Utils,-843.57,x00 S Stratford,xxxx3535,Fidelity Investments,2025-09-01,2025-09-01,,DIRECT DEBIT ATLANTIC CITY BILLPAY,2025-09-29 19:22:21.200,
2025-09-10,Amazon Mktpl*sq8py7v73,Shopping,-603.46,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*SQ8PY7V73,2025-09-29 19:22:21.200,2025-09-29
2025-09-24,Direct Debit City of Ventnox7912,106 Newport Water & Taxes,-594.15,106 Newport,xxxx6506,Fidelity Investments,2025-09-01,2025-09-22,,DIRECT DEBIT City of VentnoXXXXXX7912,2025-09-29 19:22:21.200,2025-09-29
2025-09-02,Direct Debit Synchrony Bankpayment,Credit Card Payment,-500.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-01,,DIRECT DEBIT SYNCHRONY BANKPAYMENT,2025-09-29 19:22:21.200,2025-09-29
2025-09-19,Bill Payment Amy Taylor,Clothing,-425.0,x00 E STILES,xxxx7574,Fidelity Investments,2025-09-01,2025-09-15,,BILL PAYMENT AMY TAYLOR,2025-09-29 19:22:21.200,
2025-09-16,Direct Debit State Farm Ro Sfpp,Car Insurance,-327.64,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-15,,DIRECT DEBIT STATE FARM RO SFPP,2025-09-29 19:22:21.200,
2025-09-04,Payschl*ventnor City B Ventnor NJ,,-312.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,PAYSCHL*VENTNOR CITY B VENTNOR NJ,2025-09-29 19:22:21.200,
2025-09-14,Amazon Mktpl*ok21c6hf3,Shopping,-276.56,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*OK21C6HF3,2025-09-29 19:22:21.200,2025-09-29
2025-09-22,Bill Payment Transamerica Life Insur,Health and Life Insurance,-261.98,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-22,,BILL PAYMENT TRANSAMERICA LIFE INSUR,2025-09-29 19:22:21.200,
2025-09-26,Acme.com #x x-x-4040 NJ,Groceries,-261.95,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,ACME.COM #XXXX XXX-XXX-4040 NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-09,Amazon Mktpl*ma0ln5233,Shopping,-239.89,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*MA0LN5233,2025-09-29 19:22:21.200,2025-09-29
2025-09-02,Casels's Margate City NJ,Groceries,-228.61,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,CASELS'S MARGATE CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-10,Acme 0294 Ventnor City NJ,Groceries,-214.62,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,ACME 0294 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-09,Cash Advance Atm4670 6500 Ventnor a Ventnor City NJx1317V06GSW,,-203.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-08,,CASH ADVANCE ATM4670 6500 VENTNOR A VENTNOR CITY NJXXXXXXXXXX1317V06GSW,2025-09-29 19:22:21.200,
2025-09-16,Acme.com #x x-x-4040 NJ,Groceries,-199.72,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,ACME.COM #XXXX XXX-XXX-4040 NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-10,Direct Debit Comcast-xfinitcable Svcs,106 N Newport Utils,-197.9,106 Newport,xxxx6506,Fidelity Investments,2025-09-01,2025-09-08,,DIRECT DEBIT COMCAST-XFINITCABLE SVCS,2025-09-29 19:22:21.200,2025-09-29
2025-09-01,Acme.com #x x-x-4040 NJ,Groceries,-162.25,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,ACME.COM #XXXX XXX-XXX-4040 NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-10,Direct Debit Venmo Payment,Venmo - Review,-145.0,x00 E STILES,xxxx7574,Fidelity Investments,2025-09-01,2025-09-08,,DIRECT DEBIT VENMO PAYMENT,2025-09-29 19:22:21.200,2025-09-29
2025-09-26,Acme.com #x x-x-4040 NJ,Groceries,-142.02,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,ACME.COM #XXXX XXX-XXX-4040 NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-24,Vtg*dbt of South Jerse Voorhees NJ,Doctor,-130.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,VTG*DBT of South Jerse VOORHEES NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-17,Vtg*dbt of South Jerse Voorhees NJ,Doctor,-130.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,VTG*DBT of South Jerse VOORHEES NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,Vtg*dbt of South Jerse Voorhees NJ,Doctor,-130.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,VTG*DBT of South Jerse VOORHEES NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-16,Target x1098 Mays Landing NJ,Shopping,-128.57,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,TARGET XXXX1098 MAYS LANDING NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-11,Amazon Mktpl*vm39y17p3,Shopping,-127.92,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*VM39Y17P3,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,Direct Debit Venmo Payment,Venmo - Review,-125.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-01,,DIRECT DEBIT VENMO PAYMENT,2025-09-29 19:22:21.200,2025-09-29
2025-09-08,Acme.com #x x-x-4040 NJ,Groceries,-120.46,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,ACME.COM #XXXX XXX-XXX-4040 NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,Nikepos_us Atlantic City NJ,Clothing,-117.21,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,NikePOS_US Atlantic City NJ,2025-09-29 19:22:21.200,
2025-09-21,Acme.com #x x-x-4040 NJ,Groceries,-110.46,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,ACME.COM #XXXX XXX-XXX-4040 NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,Direct Debit Venmo Payment,Venmo - Review,-110.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-01,,DIRECT DEBIT VENMO PAYMENT,2025-09-29 19:22:21.200,2025-09-29
2025-09-11,Direct Debit Venmo Payment,Venmo - Review,-108.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-08,,DIRECT DEBIT VENMO PAYMENT,2025-09-29 19:22:21.200,2025-09-29
2025-09-23,Direct Debit Comcast-xfinitcable Svcs,106 N Newport Utils,-107.32,106 Newport,xxxx6506,Fidelity Investments,2025-09-01,2025-09-22,,DIRECT DEBIT COMCAST-XFINITCABLE SVCS,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,NJ Ezpass Newark NJ,Tolls,-105.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,NJ EZPASS NEWARK NJ,2025-09-29 19:22:21.200,
2025-09-23,Yama Japanese Atlantic City NJ,Restaurants,-102.36,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,YAMA JAPANESE ATLANTIC CITY NJ,2025-09-29 19:22:21.200,
2025-09-17,Augment Code Palo Alto CA,Software & Subscriptions,-100.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,AUGMENT CODE PALO ALTO CA,2025-09-29 19:22:21.200,2025-09-29
2025-09-06,Acme.com #x x-x-4040 NJ,Groceries,-99.6,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,ACME.COM #XXXX XXX-XXX-4040 NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-13,Agnes Cafe Ventnor City NJ,Restaurants,-89.37,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,AGNES CAFE VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-25,Amazon.com*gd1kp2n03,Shopping,-85.29,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-22,,Amazon.com*GD1KP2N03,2025-09-29 19:22:21.200,2025-09-29
2025-09-05,Sq *@peace Massage Wel gosq.com NJ,"Hair, etc.",-82.31,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,SQ *@PEACE MASSAGE WEL gosq.com NJ,2025-09-29 19:22:21.200,
2025-09-04,Amazon Mktpl*0d1k221z3,Shopping,-80.01,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-01,,AMAZON MKTPL*0D1K221Z3,2025-09-29 19:22:21.200,2025-09-29
2025-09-09,Amazon Mktpl*bb2it9x03,Shopping,-76.76,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*BB2IT9X03,2025-09-29 19:22:21.200,2025-09-29
2025-09-07,Amazon Mktpl*8f5jy5bt3,Shopping,-75.76,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-01,,AMAZON MKTPL*8F5JY5BT3,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,NJ Motor Vehicle Pay x-x-5948 NJ,Car Maint & Repair,-73.64,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,NJ MOTOR VEHICLE PAY XXX-XXX-5948 NJ,2025-09-29 19:22:21.200,
2025-09-12,Amazon Mktpl*g33k51hj3,Shopping,-69.99,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*G33K51HJ3,2025-09-29 19:22:21.200,2025-09-29
2025-09-22,Dominion Energy Inc Com - Reinvestment as of x-X9-20 Dominion Energy Inc Com,Transfer,-68.25,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-22,,DOMINION ENERGY INC COM - REINVESTMENT as of XXXX-X9-20 DOMINION ENERGY INC COM,2025-09-29 19:22:21.200,
2025-09-04,Sunoco x5000 Qps Camden NJ,Gas,-66.01,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,SUNOCO XXXXXX5000 QPS CAMDEN NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-08,Amazon Mktpl*l55ja9se3,Shopping,-64.99,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*L55JA9SE3,2025-09-29 19:22:21.200,2025-09-29
2025-09-21,Thrive Market x6840 CA,Meal Services,-63.92,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,THRIVE MARKET XXXXXX6840 CA,2025-09-29 19:22:21.200,
2025-09-12,Amazon Mktpl*ae7tx3973,Shopping,-63.04,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*AE7TX3973,2025-09-29 19:22:21.200,2025-09-29
2025-09-01,3 Brothers Pizza Ocean City NJ,Restaurants,-61.89,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,3 BROTHERS PIZZA OCEAN CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-19,Welcome B/waitrose Newport Pagne Gbr,,-61.1,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,WELCOME B/WAITROSE NEWPORT PAGNE GBR,2025-09-29 19:22:21.200,
2025-09-08,Amazon Mktpl*ed0em0153,Shopping,-60.67,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*ED0EM0153,2025-09-29 19:22:21.200,2025-09-29
2025-09-16,Ac Fuel Atlantic City NJ,Gas,-55.22,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,AC FUEL ATLANTIC CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-10,Check Paid # 1290,Misc,-55.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-08,,Check Paid # 1290,2025-09-29 19:22:21.200,2025-09-29
2025-09-01,Sq *congo Falls Ocean Ocean City NJ,,-54.95,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,SQ *CONGO FALLS OCEAN Ocean City NJ,2025-09-29 19:22:21.200,
2025-09-16,Duke Energy Corp New Com New Isin #usx6441c2044 Sedol #b7jzsk0 - Reinvestment Duke Energy Corp New Com New Isin #u...,Transfer,-52.86,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-15,,DUKE ENERGY CORP NEW COM NEW ISIN #USX6441C2044 SEDOL #B7JZSK0 - REINVESTMENT DUKE ENERGY CORP NEW COM NEW ISIN #U...,2025-09-29 19:22:21.200,
2025-09-07,Margate City - Parks P Margate City NJ,Events & Activities,-50.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,MARGATE CITY - PARKS P MARGATE CITY NJ,2025-09-29 19:22:21.200,
2025-09-14,Casels's Margate City NJ,Groceries,-48.78,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,CASELS'S MARGATE CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-23,Check Paid # 1292,Childcare,-45.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-22,,Check Paid # 1292,2025-09-29 19:22:21.200,
2025-09-23,Check Paid # 1291,Childcare,-45.0,Groceries and Other Spending,xxxx1378,Fidelity Investments,2025-09-01,2025-09-22,,Check Paid # 1291,2025-09-29 19:22:21.200,
2025-09-16,Taco Bell Xx4761 Mays Landing NJ,Restaurants,-38.59,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,TACO BELL XX4761 MAYS LANDING NJ,2025-09-29 19:22:21.200,
2025-09-06,Poke Bowl Atlantic City NJ,Restaurants,-37.55,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,POKE BOWL ATLANTIC CITY NJ,2025-09-29 19:22:21.200,
2025-09-05,Amazon Mktpl*ds5xa2ag3,Shopping,-37.3,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-01,,AMAZON MKTPL*DS5XA2AG3,2025-09-29 19:22:21.200,2025-09-29
2025-09-18,Sunoco x9900 Qps Absecon NJ,Gas,-32.86,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,SUNOCO XXXXXX9900 QPS ABSECON NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-07,Amazon Mktpl*9z3dt6wo3,Shopping,-31.93,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-01,,AMAZON MKTPL*9Z3DT6WO3,2025-09-29 19:22:21.200,2025-09-29
2025-09-15,Amazon Mktpl*897xo6rb3,Shopping,-31.8,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-15,,AMAZON MKTPL*897XO6RB3,2025-09-29 19:22:21.200,2025-09-29
